;이것은 Emuera의 변수 사이즈 지정용 파일입니다.
;이 파일을 csv 폴더내에 두는 것으로 배열 변수의 요소의 수를 바꿀 수가 있습니다.
;VariableSize.CSV중에서 사이즈를 지정하고 있지 않는 변수에 대해서는 표준의 값이 사용됩니다.

;ABLNAME등의 csv로부터 읽는 변수나, RAND, CHARANUM등의 계산치에 대해서는 요소수를 변경할 수 없습니다.
;NO, NAME와 같은 배열이 아닌 변수도 사이즈를 지정할 수 없습니다.

;변수의 사이즈를 변경해도세이브데이터는 그대로 사용할 수 있습니다만, 세이브 되고 있는 사이즈보다 변경 후의 사이즈가 작은 경우, 넘쳐 나온 데이터는 없어집니다.
;또, 세이브 되고 있는 사이즈가 eramaker의 표준의 배열 사이즈보다 큰 경우, eramaker로 데이터를로드 하면 정상적으로 동작하지 않습니다.


DAY,100
MONEY,100
ITEM,1000
FLAG,10000
TFLAG,1000
UP,100
PALAMLV,100
EXPLV,100
EJAC,100
DOWN,100
RESULT,1000
COUNT,100
TARGET,100
ASSI,100
MASTER,100
NOITEM,1000
LOSEBASE,100
SELECTCOM,100
ASSIPLAY,100
PREVCOM,100

TIME,100
ITEMSALES,1000
PLAYER,100
NEXTCOM,100
PBAND,100
BOUGHT,100

A,100
B,100
C,100
D,100
E,100
F,100
G,100
H,100
I,100
J,100
K,100
L,100
M,100
N,100
O,100
P,100
Q,100
R,100
S,100
T,100
U,100
V,100
W,100
X,100
Y,100
Z,100

SAVESTR,100
RESULTS,100

BASE,100
MAXBASE,100
ABL,100
TALENT,1000
EXP,100
MARK,100
PALAM,100
SOURCE,100
EX,100
CFLAG,10000
JUEL,1000
RELATION,500
EQUIP,1000
TEQUIP,1000
STAIN,100
GOTJUEL,200
NOWEX,100
TCVAR,500
CSTR,100

LOCAL,10
LOCALS,10
ARG,1
ARGS,1
GLOBAL,1000
GLOBALS,100

;변경 불가. 난수 시스템이 사용하기 위해(때문에).
;RANDDATA, 625

;이차원 배열
DITEMTYPE,1000,1000
DA,100,100
DB,100,100
DC,100,100
DD,100,100
DE,100,100
