────────────
TFLAG
────────────
TFLAG:0  このアクション内で처녀・동정を喪失(1=처녀/2=동정/3=両方)
TFLAG:1  このアクション内で죠교자が처녀・동정を喪失(1=처녀/2=동정/3=両方)


（ここから未使用・暫定的保留）
	TFLAG:9  섹스(Ａ)で사정
	TFLAG:10 섹스(Ｖ)で사정
	TFLAG:11 입で사정
	TFLAG:12 손で사정
	TFLAG:13 クンニで사정
	TFLAG:14 키스で사정
	TFLAG:15 스마타で사정
	TFLAG:16 髪の毛で사정
	TFLAG:17 조수を犯すで사정
	TFLAG:18 역강간で사정
	TFLAG:19 발で사정

	TFLAG:20 腋で사정
	TFLAG:21 펠라で사정後(汚れ를 핥아取る?)
	TFLAG:29 가슴で죠교자が사정(舐めない)
（ここまで未使用・暫定的保留）

TFLAG:30 죠교대상が사정
TFLAG:31 죠교대상が분유
TFLAG:32 죠교대상が방뇨
TFLAG:35 主人が사정
TFLAG:36 主人が분유
TFLAG:37 촉수(他)が사정

TFLAG:40 고통각인
TFLAG:41 쾌락각인
TFLAG:42 굴복각인
TFLAG:43 공포각인
TFLAG:44 반발각인

TFLAG:50 搾乳器つけたら過ぎたターン数。모유체질취득のチェックとミルク売却の計算に使用
TFLAG;51 今回죠교で사진を撮った횟수をカウント

TFLAG:60 죠교자の상태(0=통상/1=피폐/2=쇠약/3=무기력/4=몽롱/5=정욕/6=분노/7=싫증/8=광기)
TFLAG:61 죠교대상の상태(60と同じ)
TFLAG:62 죠교자の소모플래그
TFLAG:63 죠교대상の소모플래그
TFLAG:64 죠교の경과시간
TFLAG:65 죠교자が행동済みの플래그
TFLAG:67 今回の죠교で대만족보너스を취득했다
TFLAG:68 징계・포인트
TFLAG:69 징계・플래그

TFLAG:70 このターンの죠교방침（1=휴식/2=소프트/3=노멀/4=하드/5=이상）
TFLAG:71 휴식히트値
TFLAG:72 소프트플레이히트値
TFLAG:73 노멀플레이히트値
TFLAG:74 하드플레이히트値
TFLAG:75 이상플레이히트値
TFLAG:76 前のターンの죠교방침

TFLAG:79 前のターンの죠교メニュー
TFLAG:80 このターンの죠교メニュー(0=회화/1=애무/2=도구/3=성교/4=수치/5=봉사/6=가학/7=이상/8=사역/9=휴식)
TFLAG:81 회화히트値
TFLAG:82 애무히트値
TFLAG:83 도구히트値
TFLAG:84 성교히트値
TFLAG:85 수치히트値
TFLAG:86 봉사히트値
TFLAG:87 가학히트値
TFLAG:88 이상히트値
TFLAG:89 사역히트値

